"511897609112256512","Yolo County, Type 21, Off-Sale, Full Liquor License for a #GroceryStore @ $110k Bid @ http://t.co/tXgiVuAvEJ #Yolo #Napa","llauctioneers","0","0"
"511897269554405376","I'm wearing the same thing as Sunday #yolo","nat_ellinghoe","0","1"
"511897222884364288","Photo: The only pussy cat Im saving #yolo, meet king Rich #Tuff http://t.co/K1Mx6BjOwN","richmajor1976","0","0"
"511897211891101696","The only pussy cat Im saving #yolo, meet king Rich #Tuff http://t.co/eDxMx0M6pK","richmajor1976","0","0"
"511897091019636736","Backed Basel. 20/1 #yolo","Judge_Dools","0","0"
"511896948723699712","Eating this instead of changing #yolo http://t.co/AFco6fiEoh","AmandatehPandaa","0","0"
"511896787528208384","RT @Br4mm3n: @pewdiepie sounds trustworthy #YOLO","SimonG161997","3","0"
"511896728543711232","RT @Br4mm3n: @pewdiepie sounds trustworthy #YOLO","tamerthegamer","3","0"
"511896611287744512","RT @Br4mm3n: @pewdiepie sounds trustworthy #YOLO","LisaSophie2000","3","0"
"511896562981928962","@pewdiepie sounds trustworthy #YOLO","Br4mm3n","3","24"
"511896518098288640","Practice for @RizalATBP, school, organizations, and... having fun. :) #myschedule #YOLO #neverforgetfun","beeyouteafullme","0","0"
"511896334954024960","You only live once #YOLO http://t.co/L4GUsj7ZVM","Natyoutai_","0","0"
"511896132382117888","Living the day off of 3 hrs of sleep. This should be interesting. 😴 #yolo","lovexcady","0","0"
"511896060995055616","@Ash_Taylor93 @mccarruthers @UKBanter #YOLO if only Woodall had Twitter! #twat #scumbagwoodall","dccarruthers","0","0"
"511895991780638723","RT @PhilreyOfficial: Gotta Find You
All of the Stars
Let Her Go
My Covers :)) 
Thanks in Advance ^_^
https://t.co/2oxR9NJKRs
#Jonasforever …","EDMSingers","2","0"
"511895964698038272","RT @TindraJohansson: Let's all remember, #swag #yolo #jag #och #p12a #kjellis #pappsen  😂 😂 😂 @FelixSandman @daffkjellstrom http://t.co/UU1…","tovajanssonn","1","0"
"511895962571517952","RT @PhilreyOfficial: Gotta Find You
All of the Stars
Let Her Go
My Covers :)) 
Thanks in Advance ^_^
https://t.co/2oxR9NJKRs
#Jonasforever …","VocalSearch","2","0"
"511895944309112832","My 18th year of life has definitely provided the most changes... #college #piercings #tattoo #YOLO","KiLynnette95","0","1"
"511895786461097984","@allisonbgroves I do what I can #yolo","kmariejones17","0","0"
"511895628813963264","Photo: I woke up like this…. Ella cayo dormida… #vidaEnLaCama #HolaInstagram #Sleep. #yolo #Life #regram http://t.co/fvZOnpYIh6","AntoCambarieri","0","0"
"511895620995407872","I woke up like this....
Ella cayo dormida...
#vidaEnLaCama #HolaInstagram 
#Sleep. #yolo #Life #regram http://t.co/afrXYpFNGk","AntoCambarieri","0","0"
"511895535624925184","Have spent a solid 2 days in planes over the last couple of weeks. I could probably fly this thing... #yolo","daani_182","0","0"
"511895414447304705","Let's all remember, #swag #yolo #jag #och #p12a #kjellis #pappsen  😂 😂 😂 @FelixSandman @daffkjellstrom http://t.co/UU19y4ZHLY","TindraJohansson","1","1"
"511895173262217216","Watch The Footage From This Home Plate Camera Getting SHATTERED By An Orioles ’ Foul Ball  #BroLife #Swag #Yolo http://t.co/y3pRFFRCN8","UltimateLovah","0","0"
"511894977861804032","Jumping on the bandwagon #yolo http://t.co/3PrWYxQsbv","raesinbun","0","2"
"511894851470635009","@a_wild_beamer @TehFoeFoe @LiviAnn5 @EhrbarBearbar She's been talking about deleting it for months, guess she finally did it #yolo","patfahat","0","0"
"511894795112181760","Second week in and I'm already dying of the Black Plague #swag #YOLO #yoloswag","elysecreamer","0","0"
"511894601641107456","@indiffxrent study is #1 :'-) #lifemotto #yolo #wtvislyfe","BTSV95","0","1"
"511894503817760768","Slowly aging! #yolo","jminer137","0","0"
"511894263508918273","@callmerxph wtf nevermind I just #yolo tomorrow","_ainnie","0","0"
"511894129291563008","got my mojo back and got a map so im not lost in manhattan AGAIN #yay #yolo #YouHaveToUnderstand #YouGotAProblem","sammymiller_","0","0"
"511894021976125440","RT @halfbreed4life: Nose running because #YOLO","shandikaaaa","2","0"
"511893585860390913","@panku_ yes click selfie #yolo","TheKohlEyedGirl","0","0"
"511893564054204416","Dear first mid-term at least wear a condom when you fuck me. #mcdonalds #yolo #truth","HershZac","0","0"
"511893498015281152","""@TopBibleVerses: Obscene, stupid, and suggestive words are… out of place - Ephesians 5:4"" that ... was meant for ""never"" #yolo #modernbible","FirstWorldJesus","0","0"
"511893007822372864","Me and my classmates during exam . 😂👌 #YOLO http://t.co/jYeUEHJ72M","KimOptana","0","0"
"511892991238471681","Crying a river because of onions #yolo","lisshim","0","0"
"511892962209722368","Yeah, I wear ponchos #yolo http://t.co/ZlTtfrURz3","shaaymarie","0","0"
"511892779182850048","The only thing I use red solo cups for in my house is to take cereal on the go #collegelyfe #YOLO","ninaschollnick","0","2"
"511892730126303232","Why are these addictive??! #sugar #high #Halloween #candy #calories #Don'tGiveAFuck #YOLO http://t.co/DCiq5kJqsm","vivivic3","0","0"
"511892682357346304","No matter what, only thing you've to do is move on and smile. #tb #class #smile #yolo http://t.co/Ul1STb5osn","CRISTIANZUN10","0","0"
"511892680855416833","RT @saskiasordon: #Yolo @OYesMusic T-shirt. @OYesDeeDay @oyesmziah @DavidleLee @Hoakz89 http://t.co/UkwG7a0DDi","OYesDeeDay","1","0"
"511892665697579008","RT @vaenere: Romans: Carpe Diem
Greeks: #YOLO","xhelenax_","1","0"
"511892170400595968","I got the cutest keyboard case for my ipad today. I'm sorry I look like a maniac but #yolo http://t.co/sEdmTieoY7","xD_koodi","0","0"
"511892152175964160","You know you're #classy when you take selfies in your college bathroom #YOLO #college http://t.co/SKCenhBQfF","makeupbypaiged","0","0"
"511892139023036416","The amount of carbs; not even discouraging #yolo","MelRostedt","0","0"
"511892073159471104","#YouHaveToUnderstand that you just gotta live once
#Yolo","mariilucc","0","0"
"511891866833649664","RT @stststephen: so far I've toured with a broken rib, a bruised patella, and now apparently a broken neck.  #YOLO, but for real, #getricho…","Danielb248","1","0"
"511891231140356096","RT @ichigobooboo: embroidered sweats so warm xDD #Givenchy #oldman #fashion #shades #YOLO #XXX #damnHOT http://t.co/wEkJMGOrhs","onlyshineejh","9","0"
"511891218385481728","RT @ichigobooboo: embroidered sweats so warm xDD #Givenchy #oldman #fashion #shades #YOLO #XXX #damnHOT http://t.co/wEkJMGOrhs","FitkaAditya","9","0"
"511890958691368960","RT @carlenachahley: This is me puking #lol #yolo http://t.co/zYpF7IA7tI","Paigemilnerr","3","0"
"511890692357259264","Look whats up sometimes (: then you can say how awesome life is ((:
#YOLO 
#Blessed http://t.co/e6on2koeX8","EJMislang","0","0"
"511890675474776065","Waiter Extraordinaire: Press Release for ""You Only Live Once"" http://t.co/ioFTibrZKr  #Waiter Book #Press Release #YOLO @goodreads @cbcbooks","stevennicolle","0","0"
"511890650233462784","African represent *Il le faut bien* #frenchie #pureshit #uptown #ImLovingit #YOLO 💋 @ Old Trafford -… http://t.co/s2WxYjVmzD","AuroreMendy","0","0"
"511890549272760320","I'm gonna grow a goatee.. #yolo","FreeJonahh","0","1"
"511890505782022144","asked my dad on a dinner date, got DENIED. #yolo","gypsy_kat","0","2"
"511890502816235520","@JustinRYoung PM me some details? I might take a vacation day and make the drive if it sounds fun enough. #yolo","colinhaag","0","0"
"511890404737040384","Berigud? #yolo #faith #trust 

GOODNIGHT! 😉 http://t.co/M6dJcwbdWK","cholo_cruz","0","0"
"511890278152552449","RT @speakdoang: You only live once, and I can only live as
myself. #YOLO","Yeyede05","16","0"
"511890273190674433","20 Things Your 20s Are Too Damn Short For- H/T to @shipley_amanda #wisdom #yolo http://t.co/FczunVerqa","LaurenAniess","0","1"
"511890216894754816","Dont You Just Love Doing English Homework The Night Before Its Due At 10:53pm xD #Yolo","chocolateCMC","0","0"
"511890066915221505","These thots don't know they be making themselves look bad but I guess they just don't care #yolo 😭😂😂😭😭","Eroc_shabazz","0","0"
"511890019112734720","Why do I wear heels to work again? #yolo","karlee_brown","0","1"
"511889985327599616","Smoke weed every day #high #yolo #weed #maryjane #Marijuana","derekfrancis1","0","0"
"511889819920658432","Forgive all who have offended you, not for them, but for yourself.   ~ Harriet Nelson #YOLO #forgive","saminchico","0","0"
"511889585748865024","RT @lhillyer3: How will you do on the Day of Judgment? #YOLO","FrancisNegrier","2","0"
"511889517641740288","Wearing lulu's my last week of work because #yolo also my dryer is broken","sab_befs","0","0"
